claim_id,claim,document_id
6152569800000001,Zafar Ahmad Usmani was born in 1892 to a family that raised him after his mother's death when he was three years old.,61525698
6152569800000002,"After studying Mathematics, Urdu, and Persian under Mawlana Muhammad Yasin at age seven, Zafar Ahmad Usmani studied with more religious scholars guided by his uncle Ashraf Ali Thanwi.",61525698
6152569800000003,"In 1947, Quaid-e-Azam Muhammad Ali Jinnah asked Maulana Shabbir Ahmad Usmani to hoist the Pakistani flag in Karachi, while asking Zafar Ahmad Usmani to do so in Dhaka.",61525698
6152569800000004,"Zafar Ahmad Usmani wrote I’la’ al-Sunan, a Hadith Commentary that connects the opinions of the Hanafi school with direct evidence from the Hadiths, which was first printed in 1923 and consists of 21 volumes.",61525698
6152569800000005,The Ahl-i Hadith movement's objections to the Hanafi school led Maulana Ashraf Ali Thanwi to ask his nephew Zafar Ahmad Usmani to respond through I’la’ al-Sunan.,61525698
6152571900000001,"The controller or agent in optimal control theory chooses a control to manipulate state variables, similar to an actual control valve.",61525719
6152571900000002,A control given as a function of time only does not have a predetermined equation of motion.,61525719
6152571900000003,Optimal control theory aims to find a sequence of controls within an admissible set to achieve an optimal path for the state variables.,61525719
6152571900000004,"The goal of optimal control theory is to minimize a loss function with respect to the state variables, similar to controlling a real-world process.",61525719
6152571900000005,A closed-loop control gives an optimal solution during some remainder period as a function of the state variable at the beginning of the period.,61525719
6152571900000006,Optimal control theory is related to the concept of control loops in control theory.,61525719
6152573100000001,"The Kameoka Stadium in Kyoto, Kyoto Prefecture, Japan is primarily used as the home stadium for Kyoto Sanga F.C., a team in the Japan Professional Football League (J.League).",61525731
6152573100000002,The Kameoka Stadium was completed in early 2020.,61525731
6152573100000003,Kyocera purchased the naming rights of the Kameoka Stadium for 2 billion over 20 years in 2019.,61525731
6152575300000001,"The Kingsborough Houses-Kingsborough Extension is a housing project located in Crown Heights, Brooklyn, covering 15.97-acres and consisting of six-story buildings with 1,148 apartment units.",61525753
6152575300000002,"The Kingsborough Houses-Kingsborough Extension was constructed between 1938 and 1941, costing $5,160,000, and initially had 36 employees working on-site at the development.",61525753
6152575300000003,"At its opening in 1941, the majority of residents at Kingsborough Houses were white, but by the late 1950s over two-thirds of residents were African-American.",61525753
6152575300000004,The cast-stone frieze Green Pastures: The Walls of Jericho was created by Richmond Barthé through the Works Progress Administration (WPA) in 1938 and consists of scenes from the Old Testament viewed through the eyes of an African-American child.,61525753
6152575300000005,"By 2018, the Green Pastures: The Walls of Jericho frieze at Kingsborough Houses-Kingsborough Extension was in disrepair due to capital needs, and its installation was delayed until after the project's completion in 1941.",61525753
6152575300000006,Landscape architect Gilmore Clarke designed the grounds of the Kingsborough Extension in a style reminiscent of city parks from the same period.,61525753
6152575300000007,"Architect Morris Ketchum, Jr. designed the Kingsborough Extension.",61525753
6152576800000001,DWCN (96.9 MHz) Radyo Pilipinas AM radio station is owned by the Government of Daet.,61525768
6152576800000002,"The studios and transmitter of DWCN (96.9 MHz) Radyo Pilipinas are located in Brgy. Poblacion, Daet, Camarines Norte.",61525768
6152576800000003,57 new scholars were oriented by DOST in Camarines Norte in 2015.,61525768
6152576800000004,A School on Air graduation ceremony was held in Camarines Norte.,61525768
6152578600000001,"The Hakkemose Brickworks was a Danish brickyard and ceramics factory located at Taastrup, Denmark.",61525786
6152578600000002,Johannes Peter Langgaard purchased the farm Hakkemose at Taastrup in 1847.,61525786
6152578600000003,"Langgaard founded the brickyard at the site on November 10, 1847.",61525786
6152578600000004,Langgaard studied the latest technological trends in Germany before founding the brickyard.,61525786
6152578600000005,"The Hoffmann kiln constructed by Langgaard had room for 22,500 bricks in each chamber.",61525786
6152578600000006,"By the 1870s, the Hoffmann kiln had developed into the largest brickyard in the country.",61525786
6152578600000007,"In 1872, the Hakkemose Brickworks produced 7 million bricks.",61525786
6152578600000008,The brickyard started a production of terracotta objects and faience cocklestoves in 1883.,61525786
6152578600000009,The brickyard won awards at the 1872 Nordic Exhibition in Copenhagen.,61525786
6152578600000010,Langgaard passed away in 1890.,61525786
6152578600000011,His heirs sold the brickyard to a British consortium in 1895.,61525786
6152578600000012,The clay deposits had been depleted by 1908.,61525786
6152578600000013,The Hoffmann kiln was demolished in 1909.,61525786
6152578600000014,Morten Korch managed the factory from October 1909 to September 1911.,61525786
6152578600000015,The factory closed in 1915.,61525786
6152578600000016,"The main wing of Hakkemosegård, built for Langgaard in 1858, survived demolition in the 1990s.",61525786
6152578600000017,Bricks from Hakkemose are stamped with J. P. Langgard's name and trademark.,61525786
6152578600000018,The trademark featured a bee hive.,61525786
6152578600000019,Buildings constructed with bricks from Hakkemose include Vridsløselille State Prison and Sankt Hans Hospital.,61525786
6152589200000001,"Hibbertia bracteata, a species of perennial shrub in the family Dilleniaceae, is endemic to the Sydney and Blue Mountains region in Australia.",61525892
6152589200000002,Hibbertia bracteata has small yellow five-petalled flowers.,61525892
6152589200000003,Each flower of Hibbertia bracteata sits on a ring of brown bracts.,61525892
6152589200000004,Flowering of Hibbertia bracteata occurs from late winter to summer.,61525892
6152589200000005,The height of Hibbertia bracteata may reach one metre.,61525892
6152589200000006,The habitat of Hibbertia bracteata is heath and woodland.,61525892
6152593300000001,"Robert Smith, born on April 17, 1997, is a professional player for the Toronto Argonauts of the Canadian Football League (CFL).",61525933
6152593300000002,The Toronto Argonauts drafted Robert Smith ninth overall in the 2019 CFL Draft.,61525933
6152593300000003,"Robert Smith signed with the Toronto Argonauts on May 16, 2019.",61525933
6152593300000004,"Robert Smith made his professional debut against the Hamilton Tiger-Cats on June 22, 2019.",61525933
6152593300000005,Robert Smith played U Sports football for Wilfrid Laurier Golden Hawks from 2015 to 2018.,61525933
6152594700000001,"Ovidiu Ioan Perianu, a Romanian international footballer, plays for FCSB as a midfielder.",61525947
6152594700000002,Ovidiu Ioan Perianu made his debut for FCSB's youth academy against Alashkert in the UEFA Europa League on 25 July 2019.,61525947
6152594700000003,Ovidiu Ioan Perianu made his Liga I debut for FCSB against Voluntari on 11 August 2019.,61525947
6152594700000004,Ovidiu Ioan Perianu represented Romania at under-17 level and made his debut for Romania U18 against Albania on 13 August 2019.,61525947
6152597300000001,"Aleksandr Yampolskiy is the co-founder and CEO of SecurityScorecard, an information security company.",61525973
6152597300000002,Aleksandr Yampolskiy graduated from New York University with degrees in mathematics and computer science.,61525973
6152597300000003,Aleksandr Yampolskiy completed his PhD in cryptography at Yale University.,61525973
6152597300000004,"Aleksandr Yampolskiy published a thesis titled ""Efficient Cryptographic Tools for Secure Distributed Computing"" through Yale Press in 2006.",61525973
6152597300000005,"Before co-founding SecurityScorecard, Aleksandr Yampolskiy was the Chief Information Security Officer at the Gilt Groupe.",61525973
6152597300000006,"Prior to his role at the Gilt Groupe, Aleksandr Yampolskiy served as the Chief Technology Officer of BlogTalkRadio.",61525973
6152597300000007,Aleksandr Yampolskiy held a senior security position at Oracle before joining SecurityScorecard.,61525973
6152597300000008,"Before joining Oracle, Aleksandr Yampolskiy was the Chief Technology Officer of BlogTalkRadio.",61525973
6152597300000009,Aleksandr Yampolskiy worked as a senior security officer at Microsoft before co-founding SecurityScorecard.,61525973
6152597300000010,"Before his role at Microsoft, Aleksandr Yampolskiy held a senior security position at Goldman Sachs.",61525973
6152597300000011,Aleksandr Yampolskiy was part of the Goldman Sachs team that led startups.,61525973
6152597300000012,Aleksandr Yampolskiy is an American technology executive.,61525973
6152597300000013,Aleksandr Yampolskiy is a Yale University alumnus.,61525973
6152597300000014,"Aleksandr Yampolskiy is alive, according to available information.",61525973
6152597500000001,"Winifred Graham was born in London on April 21, 1873.",61525975
6152597500000002,"Winifred Graham's first book-length novel, On the Down Grade, was published in 1896.",61525975
6152597500000003,Winifred Graham produced eighty-eight books during her lifetime.,61525975
6152597500000004,The Love Story of a Mormon (1911) was adapted into the silent film Trapped by the Mormons (1922).,61525975
6152597500000005,Winifred Graham led a campaign to ban Mormon missionaries from the United Kingdom between 1908 and 1924.,61525975
6152597500000006,Winifred Graham married Theodore Cory in 1906.,61525975
6152597500000007,"Winifred Graham died of an illness on February 5, 1950.",61525975
6152600200000001,The Izhevsk Mechanical Plant produced more than 1.36 million IZh-58 hunting shotguns in all four standard variants.,61526002
6152600200000002,The price of one standard IZh-58 shotgun was 60 rubles as of January 1961.,61526002
6152600200000003,The IZh-58 is a side by side smoothbore shotgun.,61526002
6152600200000004,The barrels of the IZh-58 are made from 50RA steel (сталь 50PA).,61526002
6152600200000005,The IZh-58 has chokes at the muzzle end.,61526002
6152600200000006,"The IZh-58 has a walnut, birch or beech shoulder stock and fore-end.",61526002
6152600200000007,L. I. Pugachev designed the IZh-58 shotgun in the last months of 1958.,61526002
6152600200000008,"Since 1961, a new varnish with improved characteristics has been used to protect the wooden parts of the gun.",61526002
6152600200000009,The IZh-58MAE shotgun was made with aluminium alloy details and was produced since 1977.,61526002
6152600200000010,The IZh-58MA shotgun was equipped with a new safety mechanism and was produced since 1975.,61526002
6152600200000011,The IZh-58M shotgun was introduced in 1970.,61526002
