query_id,mode,query,expected_answer,model_answer,correct_substring,llm_score
1,vanilla,What specific testimony did Former FBI Director James Comey agree to provide to the U.S. Senate Intelligence Committee regarding the Russia probe in June 2017?,James Comey agreed to testify in open session and behind closed doors before Senate Intelligence Committee on June 8,"Former FBI Director James Comey agreed to testify before the Senate Intelligence Committee as part of its investigation into alleged Russian interference in the U.S. presidential election. He was scheduled to do so on June 8, according to a document with ID: 0003.",0,0.9
2,vanilla,What were the exact words Angela Merkel used to describe U.S. relations with Europe at the beer tent in Munich in 2017?,Merkel stated that Europe could no longer completely rely on others,"The given documents do not contain information about what exactly Angela Merkel said about U.S. relations with Europe at the beer tent in Munich in 2017. However, they indicate that ties between Germany and the United States were described as ""difficult"" but expected to improve (Doc ID: 0075), and despite a critical tweet from then-President Trump, Merkel's team emphasized strong U.S.-German relations (Doc IDs: 0068, 0069).",0,0.4
3,vanilla,What specific error did Massachusetts Institute of Technology (MIT) officials say Donald Trump made about their climate research in their April 2016 study?,MIT officials said Trump badly misunderstood their research on Paris Agreement effects,"Massachusetts Institute of Technology (MIT) officials stated that President Donald Trump had misunderstood their research when he cited it as justification for withdrawing from a global pact to fight climate change in April 2016. However, the specific error made by Trump is not detailed in the provided documents.",0,0.0
4,vanilla,"When did Elon Musk and Walt Disney CEO Robert Iger specifically announce their resignations from Trump's advisory councils, and what was their stated reason?","Musk and Iger resigned from Trump's advisory councils on May 31, 2017 after Paris accord withdrawal",Elon Musk of Tesla Inc and Walt Disney Co CEO Robert Iger announced on Thursday that they would be resigning from White House advisory councils in response to U.S President Donald Trump's decision to withdraw from the Paris climate deal.,0,0.9
5,vanilla,What specific figure did the Congressional Budget Office report regarding healthcare coverage loss under the Republican healthcare bill in May 2017?,23 million people would lose health insurance coverage by 2026,"The Congressional Budget Office was expected to release its analysis of the U.S. House of Representatives's healthcare overhaul legislation, specifically related to the number of people losing coverage due to the bill. However, a specific figure for May 2017 is not provided in the documents given.",0,0.5
6,vanilla,What exact statement did Donald Trump make about James Comey to Russian Foreign Minister Sergei Lavrov and Ambassador Sergei Kislyak in the May 2017 Oval Office meeting?,Trump called Comey a 'nut job' and said firing him relieved pressure,"Based on the available documents, there isn't an exact statement made by Donald Trump about James Comey to Russian Foreign Minister Sergei Lavrov and Ambassador Sergei Kislyak in the May 2017 Oval Office meeting. The content of the discussions during that meeting wasn't explicitly mentioned in any of the documents provided.",0,0.5
7,vanilla,What specific amount of military aid did Donald Trump's administration propose converting from grants to loans in May 2017?,$13.5 billion in military grants proposed for conversion to loans,The given documents do not specify an exact amount for the conversion of some U.S. foreign military grants into loans by President Donald Trump's administration. Further research or access to more detailed documents might be required for that specific information.,0,0.3
8,vanilla,What were the exact terms of the Paris Climate Agreement regarding U.S. emissions reduction commitments for 2025?,26 to 28 percent reduction from 2005 levels by 2025,"Based on the provided documents, there is no specific information about the exact terms of the Paris Climate Agreement concerning the U.S.'s emissions reduction commitments for 2025. However, it can be inferred that the agreement involves efforts to reduce greenhouse gas emissions and combat climate change globally.",0,0.3
9,vanilla,What specific communication did Michael Flynn's attorney report to the Senate Intelligence Committee regarding document subpoenas in May 2017?,Flynn began turning over documents to Senate Intelligence Committee,"According to Document ID 0273, in May 2017, Michael Flynn's attorney communicated with the Senate Intelligence Committee that they were still negotiating with Flynn over obtaining certain documents for their investigation. The document doesn't provide specific details about what was discussed or agreed upon during this communication.",0,0.6
10,vanilla,"What exact amount did Trump's budget proposal seek to cut from Medicaid over 10 years, according to the May 2017 White House budget?",$800 billion cut from Medicaid over 10 years,"According to the document with Doc ID: 0189 titled ""White House proposes $46.54 billion in cuts to agriculture over ten years"", it states that President Donald Trump's budget proposal sought to make significant reductions to various sectors, including Medicaid. However, it does not provide the exact amount of the proposed cuts for Medicaid specifically over 10 years as per May 2017 White House budget.",0,0.0
11,vanilla,What specific statement did Pope Francis make to Donald Trump regarding peacemaking during their May 2017 Vatican meeting?,Pope gave Trump olive tree symbolizing peace,"During their first meeting in May 2017, Pope Francis urged U.S. President Donald Trump to be a peacemaker. This statement was made following an exchange of sharp words between them the previous year.",0,0.8
