query_id,mode,query,expected_answer,model_answer,correct_substring,llm_score
1,vanilla,Who was the FBI chief who testified in the Russia probe?,James Comey,"Former FBI Director James Comey was the FBI chief who testified in the Russia probe, as indicated in several of the documents retrieved for this query. This includes testimony before U.S. Senate panels investigating alleged Russian meddling in the 2016 U.S. election and under oath that the Trump administration had not pressured his agency to halt any investigation for political purposes.",1,0.5
2,vanilla,When did Trump dismay allies by abandoning the climate pact?,"May 31, 2017","President Donald Trump announced his decision to withdraw the United States from the global agreement to combat climate change, also known as the Paris Climate Accord, on Thursday prior to June 2017. This caused dismay among allies and was condemned by many, as highlighted in various reports at that time.",0,1.0
3,vanilla,What did MIT say about Trump's understanding of their climate research?,Trump badly misunderstood their research,"MIT officials stated that President Donald Trump had significantly misunderstood their research when he used it to justify his decision to withdraw from the Paris Climate Agreement. This is as per Document ID: 0002, ""Trump misunderstood MIT climate research, university officials say.""",0,1.0
4,vanilla,What specific action did Trump take regarding the Paris climate agreement?,Withdrew from the agreement,"Based on the given documents, President Donald Trump made the decision to withdraw the United States from the Paris Climate Agreement. This was announced in various communications with leaders of different countries as well as comments by other officials expressing their disappointment and condemnation for this action.",0,1.0
5,vanilla,What was James Comey's role before being fired?,FBI Director,James Comey served as the Director of the Federal Bureau of Investigation (FBI) before he was fired by President Trump.,0,1.0
6,vanilla,How did European leaders respond to Trump's NATO meeting?,Expressed disappointment over Article 5 stance,"European Union officials had mixed responses to President Donald Trump's NATO meeting in Brussels, as indicated by Document ID 0119. While they acknowledged that Trump offered assurances about security issues during his meeting with EU chiefs, they also did not hide the fact that there were still varied differences remaining between them and the U.S. president on certain matters.",0,0.5
7,vanilla,What was the main point of disagreement between Trump and Merkel?,NATO spending and trade deficit,"The main point of disagreement between President Donald Trump and Chancellor Angela Merkel, as outlined in the document (Doc ID: 0068), was Germany's trade and spending policies, which President Trump criticized as ""very bad."" This criticism intensified a row between the two longtime allies.",0,0.5
8,vanilla,What happened to Michael Flynn regarding the Russia investigation?,"Declined Senate subpoena, resigned as national security adviser","Michael Flynn, former White House National Security Adviser under President Trump's administration, has been subpoenaed by the Senate Intelligence Committee as part of its investigations into possible Russia interference in U.S. elections. However, he initially declined to comply with a subpoena from the committee. Eventually, Flynn agreed to turn over some documents that were demanded by the panel. The Senate intelligence committee is still negotiating with him for more documents related to Russia and its possible interference in U.S. elections.",0,0.5
9,vanilla,What was the response of world leaders to Trump's Paris agreement decision?,Called it deeply disappointing,"World leaders, Democratic members of Congress, and others strongly deplored U.S. President Donald Trump’s decision to withdraw from the Paris climate accord. There were calls for other countries to rally around the climate pact after reports that Trump was about to quit the Paris accord. However, some environmentalists expressed concerns as well. The mayor of Paris also stated that Trump's decision to withdraw was a ""mistake with fatal consequences"".",0,0.5
10,vanilla,What did Trump say about Comey to Russian officials?,Called him a nut job and crazy,"According to the documents, President Donald Trump told Russian officials at the White House that firing FBI Director James Comey relieved ""great pressure"" he was facing from an ongoing probe. This statement also indicated his attempt to explain why he had been unable to find areas of cooperation with Russia's foreign minister during a meeting following the dismissal.",0,0.0
11,vanilla,What were Kushner's reported contacts with Russia?,Three undisclosed contacts with Russian ambassador,"Based on the provided documents, Jared Kushner had at least three previously undisclosed contacts with the Russian ambassador to the United States before President Trump took office (Doc ID: 0087). These contacts were not part of a secret channel of communication established by him. However, he was under scrutiny by the FBI in the Russia probe due to his role as a senior White House adviser and son-in-law to President Trump (Doc ID: 0103).",0,1.0
12,vanilla,How many U.S. jobs would the Paris deal affect according to Trump?,Millions of jobs,"Based on the given documents, there is no specific mention or calculation of how many U.S. jobs the Paris climate agreement would impact as per President Donald Trump's statement. The documents mainly discuss the misunderstanding about MIT research by President Trump, criticism and support for his decision to pull out from the deal, an internal debate leading to this decision, and potential legal implications if he quits the agreement.",0,0.0
13,vanilla,What was the reaction of Goldman Sachs CEO to Paris withdrawal?,Called it a setback for environment,"Goldman Sachs Group Inc Chief Executive Officer Lloyd Blankfein criticized the United States' decision to withdraw from the Paris climate deal in his first message on Twitter since joining Twitter Inc. This is as per Doc ID: 0012, ""Goldman's Blankfein criticizes U.S decision to leave Paris climate deal.""",0,1.0
14,vanilla,What did Macron say to Trump about the Paris accord?,Said Paris accord cannot be renegotiated,"President Emmanuel Macron informed President Donald Trump that he firmly opposed any renegotiation of the Paris climate deal, as indicated in both Documents: ID 0018 and 0008. Furthermore, despite France's commitment to collaborate with Washington on various matters, they would not compromise their stance on this issue.",0,1.0
15,vanilla,When did Flynn decline the Senate subpoena?,"May 22, 2017","Michael Flynn declined the Senate subpoena on Monday, as indicated in the document with Doc ID: 0193, titled ""Flynn declines Senate subpoena in Russia probe.""",0,1.0
